plot,grid,evacuation_datetime,collection_datetime,mean_EC_uScm_15cm,min_EC_uScm_15cm,max_EC_uScm_15cm,doc_mg_l,tdn_mg_l,collection_date
Saltwater,H3,2023-02-02T15:40:00Z,2023-02-06T15:55:00Z,90.53564414768452,23,246,24.3,0.95,2023-02-06
Saltwater,H3,2023-05-12T17:47:00Z,2023-05-15T20:05:00Z,89.39001823461894,20,167,24.18,0.84,2023-05-15
Saltwater,H3,2023-06-23T16:52:00Z,2023-06-27T17:29:00Z,289.43289379531296,12,1870,4.37,0.31,2023-06-27
Saltwater,H3,2023-08-07T15:59:00Z,2023-08-10T15:59:00Z,125.31574543256868,10,537,40.67,1.35,2023-08-10
Saltwater,H3,2023-09-29T15:28:00Z,2023-10-02T14:55:00Z,85.72442542922302,5,314,53.81,1.86,2023-10-02
Saltwater,H3,2023-12-05T15:57:00Z,2023-12-08T17:13:00Z,91.98610851555125,14,293,26.05,0.79,2023-12-08
Saltwater,H6,2022-06-22T15:59:00Z,2022-06-22T16:47:00Z,575.5719063545151,16,2967,7.25,0.37,2022-06-22
Saltwater,H6,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,611.3615485564357,16,3061,15.52,1.65,2022-06-22
Saltwater,H6,2022-06-22T15:59:00Z,2022-06-23T13:41:00Z,535.9310874856228,16,3061,7.4,0.39,2022-06-23
Saltwater,H6,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,458.10335739660593,26,2064,10.3,0.71,2022-06-24
Saltwater,H6,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,135.46078384684887,25,447,38.01,1.29,2022-08-08
Saltwater,H6,2022-09-12T15:12:00Z,2022-09-15T15:58:00Z,83.04148126884016,11,262,45.66,1.45,2022-09-15
Saltwater,H6,2022-10-17T19:40:00Z,2022-10-19T20:20:00Z,88.30138694093877,11,177,27.6,0.89,2022-10-19
Saltwater,H6,2022-11-25T17:45:00Z,2022-11-28T19:02:00Z,98.87275108175942,18,189,28.31,0.91,2022-11-28
Saltwater,H6,2023-01-30T16:30:00Z,2023-02-02T17:30:00Z,93.11464597478061,23,240,19.65,0.76,2023-02-02
Saltwater,H6,2023-04-14T15:59:00Z,2023-04-17T15:59:00Z,99.42805519053815,26,266,36.41,1.08,2023-04-17
Saltwater,H6,2023-05-12T17:36:00Z,2023-05-15T20:15:00Z,89.37875428341076,20,167,27.36,0.67,2023-05-15
Saltwater,H6,2023-06-07T20:34:00Z,2023-06-08T17:49:00Z,501.09313449632606,12,2926,4.39,0.39,2023-06-08
Saltwater,H6,2023-06-08T15:59:00Z,2023-06-12T15:59:00Z,379.6494858212777,11,1975,5.19,0.42,2023-06-12
Saltwater,H6,2023-06-12T13:17:00Z,2023-06-14T17:18:00Z,297.2068296953716,11,2075,5.28,0.3,2023-06-14
Saltwater,H6,2023-06-23T16:55:00Z,2023-06-27T17:17:00Z,289.50889048146917,12,1870,4.82,0.26,2023-06-27
Saltwater,H6,2023-08-07T14:06:00Z,2023-08-10T16:26:00Z,124.98932865055629,10,537,49.79,1.55,2023-08-10
Saltwater,I5,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,82.69302081511111,0,284,14.77,1.28,2022-06-13
Saltwater,I5,2022-06-22T15:59:00Z,2022-06-22T20:14:00Z,611.3615485564357,16,3061,11.85,1.25,2022-06-22
Saltwater,I5,2022-06-22T15:59:00Z,2022-06-23T13:41:00Z,535.9310874856228,16,3061,15.07,1.9,2022-06-23
Saltwater,I5,2022-06-23T15:59:00Z,2022-06-24T16:15:00Z,458.10335739660593,26,2064,15.9,1.5,2022-06-24
Saltwater,I5,2022-07-14T15:20:00Z,2022-07-18T16:05:00Z,183.32772083157562,17,680,15.02,1.07,2022-07-18
Saltwater,I5,2022-08-05T16:55:00Z,2022-08-08T17:56:00Z,135.46078384684887,25,447,20.27,0.82,2022-08-08
Saltwater,I5,2023-02-02T15:40:00Z,2023-02-06T15:55:00Z,90.53564414768452,23,246,85.4,3.13,2023-02-06
Saltwater,I5,2023-06-07T11:58:00Z,2023-06-07T20:45:00Z,626.130129779035,0,2992,11.37,0.72,2023-06-07
Saltwater,I5,2023-08-04T15:59:00Z,2023-08-07T15:59:00Z,123.92021133698358,9,446,18.75,1.55,2023-08-07
Saltwater,I5,2023-08-07T14:12:00Z,2023-08-10T16:14:00Z,125.01705110808363,10,537,48.78,1.45,2023-08-10
